NORMAL_ID,raw_white,raw_ground,raw_universe,has_stats,ground,white,candidate,ID
18191393,0,1,1,1,1,0,1,112821327787387
18282563,1,0,1,1,0,1,0,9919215100517
18357089,0,1,1,1,1,0,1,44194331978804
18566142,1,0,1,1,0,1,0,219223451871824
18634042,1,1,1,1,0,1,0,35311378195654
18673983,1,1,1,1,0,1,0,197892942632392
18762222,0,0,1,1,0,0,1,43798158661585
19026851,1,1,1,1,0,1,0,148027159253442
19573118,1,1,1,1,0,1,0,189855458680106
19685029,1,1,1,1,0,1,0,215601754134569
19765543,1,0,1,1,0,1,0,225342807913697
20198918,1,1,1,1,0,1,0,158188719899910
20240132,1,1,1,1,0,1,0,184266812471315
20329518,1,1,1,1,0,1,0,192423484418928
20388730,1,1,1,1,0,1,0,191947135754213
20507188,1,1,1,1,0,1,0,76441866325358
21247545,1,1,1,1,0,1,0,180582543716897
21522275,1,1,1,1,0,1,0,95052098778431
21625304,0,0,1,1,0,0,1,29300968622617
21855791,1,1,1,1,0,1,0,255247450767330
21991733,1,1,1,1,0,1,0,79860598117971
2205812,1,1,1,1,0,1,0,236324693733461
22557447,1,1,1,1,0,1,0,135228546788898
22717513,1,1,1,1,0,1,0,12234144453832
22914603,0,1,1,1,1,0,1,239948771872678
23280920,1,1,1,1,0,1,0,243626071470799
2388634,1,1,1,1,0,1,0,93401539875191
23956997,1,1,1,1,0,1,0,80298373273594
24618411,1,1,1,1,0,1,0,157925005010134
24949314,1,1,1,1,0,1,0,6288631360690
2514612,1,1,1,1,0,1,0,106771024342190
25213481,1,1,1,1,0,1,0,199669978552067
26025119,1,1,1,1,0,1,0,266920568002543
2606945,1,1,1,1,0,1,0,8281871964701
26458268,1,0,1,1,0,1,0,237912997438788
26848268,1,1,1,1,0,1,0,202567963967795
26915222,1,1,1,1,0,1,0,5638899055717
2707493,0,0,1,1,0,0,1,169908306442307
2722796,1,1,1,1,0,1,0,103104101745337
28117230,1,1,1,1,0,1,0,25973618956501
28122899,1,1,1,1,0,1,0,157608872330690
2813792,1,0,1,1,0,1,0,95508258164526
28451888,1,1,1,1,0,1,0,76687764135455
28475027,1,1,1,1,0,1,0,229884172687424
28484385,1,0,1,1,0,1,0,4151810228693
28855538,0,1,1,1,1,0,1,47497655255409
29172220,1,1,1,1,0,1,0,257948132484858
29649692,1,1,1,1,0,1,0,43447631231870
30001579,1,1,1,1,0,1,0,64174889363321
